pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,4,0,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,1,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,2,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,3,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,4,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,5,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,6,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,7,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,8,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,9,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,10,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,11,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,12,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,13,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,14,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,15,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,16,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,17,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,18,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,19,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,20,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,21,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,22,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,23,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,24,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,25,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,26,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,27,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,28,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,29,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,30,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,31,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,32,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,33,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,34,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,35,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,36,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,37,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,38,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
0,4,39,3,2021,0,0,0,4,4,99999,0,0,2.9425,11.77,0.4,0.4
1,4,0,3,736,0,0,0,9,9,99999,0,0,0.034444,0.309996,0.4,0.4
1,4,1,3,895,0,0,0,4,4,99999,0,0,2.698333,10.793332,0.4,0.4
1,4,2,3,1051,0,0,0,13,13,99999,0,0,0.816667,10.616671,0.4,0.4
1,4,3,3,1190,0,0,0,38,38,99999,0,0,0.144167,5.478346,0.4,0.4
1,4,4,3,1341,0,0,0,28,28,99999,0,0,1.366667,38.266676,0.4,0.4
1,4,5,3,1492,0,0,0,4,4,99999,0,0,0.160833,0.643332,0.4,0.4
1,4,6,3,1635,0,0,0,4,4,99999,0,0,0.022333,0.089332,0.4,0.4
1,4,7,3,1778,0,0,0,40,40,99999,0,0,0.026111,1.04444,0.4,0.4
1,4,8,3,1917,0,0,0,48,48,99999,0,0,0.114583,5.499984,0.4,0.4
1,4,9,3,2097,0,0,0,9,9,99999,0,0,7.23,65.07,0.4,0.4
1,4,10,3,2247,0,0,0,12,12,99999,0,0,0.184167,2.210004,0.4,0.4
1,4,11,3,2412,0,0,0,11,11,99999,0,0,0.373167,4.104837,0.4,0.4
1,4,12,3,2552,0,0,0,44,44,99999,0,0,0.52125,22.935,0.4,0.4
1,4,13,3,2689,0,0,0,20,20,99999,0,0,0.079333,1.58666,0.4,0.4
1,4,14,3,2829,0,0,0,27,27,99999,0,0,0.154,4.158,0.4,0.4
1,4,15,3,2966,0,0,0,30,30,99999,0,0,0.270833,8.12499,0.4,0.4
1,4,16,3,3113,0,0,0,28,28,99999,0,0,0.543125,15.2075,0.4,0.4
1,4,17,3,3264,0,0,0,15,15,99999,0,0,0.169167,2.537505,0.4,0.4
1,4,18,3,3418,0,0,0,21,21,99999,0,0,0.522,10.962,0.4,0.4
1,4,19,3,3557,0,0,0,8,8,99999,0,0,0.170833,1.366664,0.4,0.4
1,4,20,3,3713,0,0,0,68,68,99999,0,0,0.841667,57.233356,0.4,0.4
1,4,21,3,3861,0,0,0,67,67,99999,0,0,0.416667,27.916689,0.4,0.4
1,4,22,3,3999,0,0,0,19,19,99999,0,0,0.494167,9.389173,0.4,0.4
1,4,23,3,4034,0,0,0,6,6,99999,0,0,0.416667,2.500002,0.4,0.4
1,4,24,3,4034,0,0,0,6,6,99999,0,0,0.416667,2.500002,0.4,0.4
1,4,25,3,4034,0,0,0,6,6,99999,0,0,0.416667,2.500002,0.4,0.4
1,4,26,3,4034,0,0,0,6,6,99999,0,0,0.416667,2.500002,0.4,0.4
1,4,27,3,4034,0,0,0,6,6,99999,0,0,0.416667,2.500002,0.4,0.4
1,4,28,3,4034,0,0,0,6,6,99999,0,0,0.416667,2.500002,0.4,0.4
